id,main_iter,out_iter,inner_iter,lw,Fscore,Jaccard
new_103241736833663734962,10,1,100,1.0,0.5743747721120713,0.44628413873043604
new_103241736833663734962,10,3,100,1.0,0.5761557810738138,0.4442271071369432
new_100637660947564674695,10,1,100,1.0,0.8848484848484849,0.803921568627451
new_100637660947564674695,10,3,100,1.0,0.8848484848484849,0.803921568627451
new_100466178325794757407,10,1,100,1.0,1.0,1.0
new_100466178325794757407,10,3,100,1.0,1.0,1.0
new_112573107772208475213,10,1,100,1.0,0.33660211399796097,0.2352743049032865
new_112573107772208475213,10,3,100,1.0,0.3531868828833833,0.2480767481673641
new_103338524411980406972,10,1,100,1.0,0.6666666666666666,0.5
new_103338524411980406972,10,3,100,1.0,0.6666666666666666,0.5
new_104226133029319075907,10,1,100,1.0,0.7344736842105263,0.640625
new_104226133029319075907,10,3,100,1.0,0.8404761904761905,0.7708333333333333
new_118255645714452180374,10,1,100,1.0,0.7566666666666666,0.7533783783783784
new_118255645714452180374,10,3,100,1.0,0.7566666666666666,0.7533783783783784
new_113881433443048137993,10,1,100,1.0,0.3684604890117611,0.27365559017426744
new_113881433443048137993,10,3,100,1.0,0.3684604890117611,0.27365559017426744
new_104076158580173410325,10,1,100,1.0,0.75,0.65
new_104076158580173410325,10,3,100,1.0,0.75,0.65
new_107965826228461029730,10,1,100,1.0,0.5271384201467505,0.4671573565323565
new_107965826228461029730,10,3,100,1.0,0.5266484723006464,0.46825042517006804
new_108541235642523883716,10,1,100,1.0,0.6552988632196552,0.5028688524590164
new_108541235642523883716,10,3,100,1.0,0.6552988632196552,0.5028688524590164
new_110809308822849680310,10,1,100,1.0,0.5,0.3333333333333333
new_110809308822849680310,10,3,100,1.0,0.8055555555555555,0.7083333333333333
new_107459220492917008623,10,1,100,1.0,0.6306795743177236,0.5316666666666667
new_107459220492917008623,10,3,100,1.0,0.6306795743177236,0.5316666666666667
new_117866881767579360121,10,1,100,1.0,0.5772350642127175,0.4062614650849945
new_117866881767579360121,10,3,100,1.0,0.5772350642127175,0.4062614650849945
new_113799277735885972934,10,1,100,1.0,0.6532768300098154,0.5647551020408164
new_113799277735885972934,10,3,100,1.0,0.6740074709439214,0.5979792826221397
new_113597493946570654755,10,1,100,1.0,0.49116676453095587,0.34472592833975946
new_113597493946570654755,10,3,100,1.0,0.5399600380853047,0.43011109237339096
new_107223200089245371832,10,1,100,1.0,0.4981300596911605,0.44113601983352096
new_107223200089245371832,10,3,100,1.0,0.5383918051649627,0.48089991671827037
new_100518419853963396365,10,1,100,1.0,0.5664593435940685,0.45266855994308874
new_100518419853963396365,10,3,100,1.0,0.7651138716356107,0.6424050632911392
new_113455290791279442483,10,1,100,1.0,0.7559808612440192,0.7
new_113455290791279442483,10,3,100,1.0,0.7559808612440192,0.7
new_110739220927723360152,10,1,100,1.0,0.7532679738562091,0.6342592592592593
new_110739220927723360152,10,3,100,1.0,0.7532679738562091,0.6342592592592592
